datetime,NZ_PPI_QoQ_Actual,NZ_PPI_QoQ_Srv_Med,NZ_PPI_QoQ_Revised,NZ_PPI_QoQ_Prior
2023-08-17 06:45:00,-0.2,0.2,0.0,0.2
2023-05-18 06:45:00,0.2,0.5,0.5,0.5
2023-02-21 05:45:00,0.5,2.4,0.8,0.8
2022-11-17 05:45:00,0.8,2.6,3.1,3.1
2022-08-17 06:45:00,3.1,None,3.4,3.6
2022-05-19 06:45:00,3.6,None,1.2,1.1
2022-02-18 05:45:00,1.1,None,1.6,1.6
2021-11-17 05:45:00,1.6,None,3.0,3.0
2021-08-18 06:45:00,3.0,None,2.1,2.1
2021-05-19 06:45:00,2.1,None,0.1,0.0
2021-02-19 05:45:00,0.0,None,0.6,0.6
2020-11-18 05:45:00,0.6,None,-0.9,-1.0
2020-08-19 06:45:00,-1.0,,-0.3,-0.3
2020-05-19 06:45:00,-0.3,,0.1,0.1
2020-02-20 05:45:00,0.1,0.4,0.9,0.9
2019-11-19 05:45:00,0.9,0.5,0.3,0.3
2019-08-19 06:45:00,0.3,-0.6,-0.9,-0.9
2019-05-17 06:45:00,-0.9,1.4,1.6,1.6
2019-02-20 05:45:00,1.6,,1.4,1.4
2018-11-19 05:45:00,1.4,0.8,1.0,1.0
2018-08-17 06:45:00,1.0,,0.6,0.6
2018-05-17 06:45:00,0.6,0.3,0.9,0.9
2018-02-20 05:45:00,0.9,0.3,1.0,1.0
2017-11-17 05:45:00,1.0,,1.4,1.4
2017-08-17 06:45:00,1.4,,0.8,0.8
2017-05-17 06:45:00,0.8,0.7,1.0,1.0
2017-02-20 05:45:00,1.0,0.9,1.5,1.5
2016-11-18 11:00:00,1.5,,0.9,0.9
2016-08-17 06:45:00,0.9,0.5,-1.0,-1.0
2016-05-18 06:45:00,-1.0,0.3,-1.2,-1.2
2016-02-18 05:45:00,-1.2,,1.6,1.6
2015-11-19 05:45:00,1.6,0.1,-0.3,-0.3
2015-08-19 06:45:00,-0.3,-0.5,-1.1,-1.1
2015-05-19 06:45:00,-1.1,-0.7,-0.4,-0.4
2015-02-19 05:45:00,-0.4,-0.2,-1.5,-1.5
2014-11-20 05:45:00,-1.5,0.3,-1.0,-1.0
2014-08-19 06:45:00,-1.0,0.7,1.0,1.0
2014-05-19 06:45:00,1.0,0.4,-0.7,-0.7
2014-02-20 05:45:00,-0.7,0.9,2.2,2.2
2013-11-20 05:45:00,2.2,0.5,0.6,0.6
2013-08-19 06:45:00,0.6,0.6,0.8,0.8
2013-05-17 06:45:00,0.8,0.3,-0.3,-0.3
2013-02-20 05:45:00,-0.3,0.3,-1.0,-1.0
2012-11-19 05:45:00,-1.0,0.3,0.6,0.6
2012-08-17 06:45:00,0.6,-0.2,0.3,0.3
2012-05-17 06:45:00,0.3,0.0,0.5,0.5
2012-02-20 05:45:00,0.5,0.4,0.6,0.6
2011-11-17 05:45:00,0.6,0.6,0.9,0.9
2011-08-17 06:45:00,0.9,1.1,2.2,2.2
2011-05-18 06:45:00,2.2,0.6,0.9,0.9
2011-02-17 05:45:00,0.9,0.4,0.7,0.7
2010-11-18 05:45:00,0.7,0.3,1.4,1.4
2010-08-19 06:45:00,1.4,0.6,1.3,1.3
2010-05-18 06:45:00,1.3,,0.4,0.3
2010-02-16 05:45:00,0.3,0.5,-1.1,-1.1
2009-11-16 05:45:00,-1.1,0.0,0.0,0.0
2009-08-19 06:45:00,0.0,-1.0,-2.5,-2.5
2009-05-18 06:45:00,-2.5,0.0,-2.2,-2.2
2009-02-16 05:45:00,-2.2,0.2,3.7,3.7
2008-11-19 05:45:00,3.7,,5.6,5.6
2008-08-19 06:45:00,5.6,2.6,2.3,2.3
2008-05-16 07:45:00,2.3,0.0,1.3,1.3
2008-02-13 05:45:00,1.3,0.0,2.3,
