datetime,US_RS_YEAR_Actual,US_RS_YEAR_Srv_Med,US_RS_YEAR_Revised,US_RS_YEAR_Prior
2023-09-14 20:30:00,None,None,3.17,3.17
2023-08-15 20:30:00,3.17,1.50,1.59,1.49
2023-07-18 20:30:00,1.49,1.60,1.96,1.61
2023-06-15 20:30:00,1.61,None,1.23,1.60
2023-05-16 20:30:00,1.60,4.20,2.42,2.94
2023-04-14 20:30:00,2.94,5.90,5.88,5.39
2023-03-15 20:30:00,5.39,None,7.68,6.38
2023-02-15 21:30:00,6.38,None,5.89,6.02
2023-01-18 21:30:00,6.02,None,6.01,7.60
2022-12-15 21:30:00,7.60,None,7.51,8.37
2022-11-16 21:30:00,8.37,None,8.59,8.41
2022-10-14 20:30:00,8.41,None,9.44,9.1
2022-09-15 20:30:00,9.1,,10.06,10.02
2022-08-17 20:30:00,10.02,,8.54,8.42
2022-07-15 20:30:00,8.42,,8.18,8.09
2022-06-15 20:30:00,8.09,,7.82,8.19
2022-05-17 20:30:00,8.19,,7.34,6.88
2022-04-14 20:30:00,6.88,,18.18,17.62
2022-03-16 20:30:00,17.62,,14.0,12.96
2022-02-16 21:30:00,12.96,,16.71,16.95
2022-01-14 21:30:00,16.95,,18.24,18.21
2021-12-15 21:30:00,18.21,,16.26,16.31
2021-11-16 21:30:00,16.31,,14.26,13.95
2021-10-15 20:30:00,13.95,,15.4,13.45
2021-09-16 20:30:00,13.45,,15.14,15.78
2021-08-17 20:30:00,15.78,,18.73,17.98
2021-07-16 20:30:00,17.98,,27.6,28.15
2021-06-15 20:30:00,28.15,,53.4,51.22
2021-05-14 20:30:00,51.22,,29.01,28.16
2021-04-15 20:30:00,28.16,,6.66,6.27
2021-03-16 20:30:00,6.27,,9.51,7.43
2021-02-17 21:30:00,7.43,,2.53,2.9
2021-01-15 21:30:00,2.9,,3.68,4.1
2020-12-16 21:30:00,4.1,,5.49,5.68
2020-11-17 21:30:00,5.68,,5.93,5.36
2020-10-16 20:30:00,5.36,,2.77,2.57
2020-09-16 20:30:00,2.57,,2.44,2.74
2020-08-14 20:30:00,2.74,,2.12,1.1
2020-07-16 20:30:00,1.1,,-5.65,-6.1
2020-06-16 20:30:00,-6.1,,-19.9,-21.61
2020-05-15 20:30:00,-21.61,,-5.68,-6.17
2020-04-15 20:30:00,-6.17,,4.62,4.35
2020-03-17 20:30:00,4.35,,4.96,4.38
2020-02-14 21:30:00,4.38,,5.52,5.82
2020-01-16 21:30:00,5.82,,3.33,3.48
2019-12-13 21:30:00,3.48,,3.25,3.1
2019-11-15 21:30:00,3.1,,4.07,4.1
2019-10-16 20:30:00,4.1,,4.36,4.1
2019-09-13 20:30:00,4.1,,3.45,3.45
2019-08-15 20:30:00,3.45,,3.29,3.4
2019-07-16 20:30:00,3.4,,2.9,3.2
2019-06-14 20:30:00,3.2,,3.7,3.1
2019-05-15 20:30:00,3.1,,3.8,3.6
2019-04-18 20:30:00,3.6,,2.2,2.2
2019-04-01 20:30:00,2.2,,2.8,2.3
2019-03-11 20:30:00,2.3,,1.6,2.3
2019-02-14 21:30:00,2.3,,4.1,
