datetime,Germany_Composite_PMI_Final_Actual,Germany_Composite_PMI_Final_Srv_Med,Germany_Composite_PMI_Final_Revised,Germany_Composite_PMI_Final_Prior,unit
2023-08-23 15:30:00,44.7,48.3,,48.5,
2023-07-24 15:30:00,48.3,50.3,,50.6,
2023-06-23 15:30:00,50.8,53.5,,53.9,
2023-05-23 15:30:00,54.3,53.5,,54.2,
2023-04-21 15:30:00,53.9,52.7,,52.6,
2023-03-24 16:30:00,52.6,51.0,,50.7,
2023-02-21 16:30:00,51.1,50.4,,49.9,
2023-01-24 16:30:00,49.7,49.6,,49.0,
2022-12-16 16:30:00,48.9,46.5,,46.3,
2022-11-23 16:30:00,46.4,44.9,,45.1,
2022-10-24 15:30:00,44.1,45.3,,45.7,
2022-09-23 15:30:00,45.9,46.0,,46.9,
2022-08-23 15:30:00,47.6,47.4,,48.1,
2022-07-22 15:30:00,48.0,50.1,,51.3,
2022-06-23 15:30:00,51.3,53.1,,53.7,
2022-05-24 15:30:00,54.6,54.0,,54.3,
2022-04-22 15:30:00,54.5,54.1,,55.1,
2022-03-24 16:30:00,54.6,53.7,,55.6,
2022-02-21 16:30:00,56.2,54.3,,53.8,
2022-01-24 16:30:00,54.3,49.2,,49.9,
