datetime,US_ISM_Production_Index_Actual,US_ISM_Production_Index_Srv_Med,US_ISM_Production_Index_Revised,US_ISM_Production_Index_Prior,unit
2023-08-01 22:00:00,48.3,,,46.7,
2023-07-03 22:00:00,46.7,,,51.1,
2023-06-01 22:00:00,51.1,,,48.9,
2023-05-01 22:00:00,48.9,,,47.8,
2023-04-03 22:00:00,47.8,,,47.3,
2023-03-01 23:00:00,47.3,,,48,
2023-02-01 23:00:00,48.0,,,48.5,
2023-01-04 23:00:00,48.5,,,51.5,
2022-11-01 22:00:00,52.3,,,50.6,
2022-10-03 22:00:00,50.6,,,50.4,
2022-09-01 22:00:00,50.4,,,53.5,
2022-08-01 22:00:00,53.5,,,54.9,
2022-07-01 22:00:00,54.9,,,54.2,
2022-06-01 22:00:00,54.2,,,53.6,
2022-05-02 22:00:00,53.6,,,54.5,
2022-04-01 22:00:00,54.5,,,58.5,
2022-03-01 23:00:00,58.5,,,57.8,
2022-02-01 23:00:00,57.8,,,59.2,
2022-01-04 23:00:00,59.2,,,61.5,
